time unit: us, MotorControl:MCA|HeartRateSetPoint, MotorControl:MCA|HeartRateSetPoint[7], MotorControl:MCA|HeartRateSetPoint[6], MotorControl:MCA|HeartRateSetPoint[5], MotorControl:MCA|HeartRateSetPoint[4], MotorControl:MCA|HeartRateSetPoint[3], MotorControl:MCA|HeartRateSetPoint[2], MotorControl:MCA|HeartRateSetPoint[1], MotorControl:MCA|HeartRateSetPoint[0], MotorControl:MCA|HeartRate, MotorControl:MCA|HeartRate[7], MotorControl:MCA|HeartRate[6], MotorControl:MCA|HeartRate[5], MotorControl:MCA|HeartRate[4], MotorControl:MCA|HeartRate[3], MotorControl:MCA|HeartRate[2], MotorControl:MCA|HeartRate[1], MotorControl:MCA|HeartRate[0], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement, MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[11], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[10], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[9], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[8], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[7], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[6], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[5], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[4], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[3], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[2], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[1], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[0], MotorControl:MCA|CurrentControl:CC|MotorSignal, MotorControl:MCA|CurrentControl:CC|MotorSignal[11], MotorControl:MCA|CurrentControl:CC|MotorSignal[10], MotorControl:MCA|CurrentControl:CC|MotorSignal[9], MotorControl:MCA|CurrentControl:CC|MotorSignal[8], MotorControl:MCA|CurrentControl:CC|MotorSignal[7], MotorControl:MCA|CurrentControl:CC|MotorSignal[6], MotorControl:MCA|CurrentControl:CC|MotorSignal[5], MotorControl:MCA|CurrentControl:CC|MotorSignal[4], MotorControl:MCA|CurrentControl:CC|MotorSignal[3], MotorControl:MCA|CurrentControl:CC|MotorSignal[2], MotorControl:MCA|CurrentControl:CC|MotorSignal[1], MotorControl:MCA|CurrentControl:CC|MotorSignal[0], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage, MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[11], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[10], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[9], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[8], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[7], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[6], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[5], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[4], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[3], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[2], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[1], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[0], 
0, XX, X, X, X, X, X, X, X, X, XXXXXXXX, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, 
13600, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011100, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100101000, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 
14400, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011100, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010101000010, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
15200, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011100, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010101000110, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 
16000, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011100, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010101000110, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 
16800, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011100, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100110001, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 
17600, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011100, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100110001, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 
18400, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011100, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100000110, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 
19200, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011100, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010011001101, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 
20000, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011100, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010011001101, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 
20800, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011100, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010010000111, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 
21600, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011011, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010000110111, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 
22400, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011011, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010000110111, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 
23200, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011011, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001111100001, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 
24000, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011010, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001111100001, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 
24800, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011010, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001110001100, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
25600, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011111, 0, 1, 0, 1, 1, 1, 1, 1, 001001011010, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001100110111, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 
